head,desc,topic
S&P affirms India's long-term sovereign credit rating for second time in four months," MUMBAI (Reuters) - Rating agency Standard and Poor’s reaffirmed India’s long-term sovereign rating at the lowest investment grade for the second time in four months on Friday, and it said it expects the economy to rebound from the impact of the COVID-19 pandemic. The news keeps India’s hopes alive of keeping its coveted investment grade, with two other rating agencies - Moody’s and Fitch - having put it on a negative watch at their lowest investment grade ratings earlier this year. India’s long-term foreign and local currency sovereign credit was affirmed by S&P at ‘BBB-’ with a stable outlook, while the short-term rating was held at ‘A-3’. “The stable outlook reflects our expectation that India’s economy will recover following the resolution of the COVID-19 pandemic, and that the country’s strong external settings will act as a buffer against financial strains despite elevated government funding needs over the next 24 months,” S&P said. The Indian economy will experience a record contraction in the fiscal year to March 2021 on account of the global COVID-19 pandemic but real GDP will recover significantly in FY22, the ratings agency said. India has the second highest virus cases globally despite seeing one of the strictest of lockdowns and cases are still rising as the economy gradually opens up. “We expect economic activity in India to begin to normalize in fiscal 2022, resulting in real GDP growth of about 10%.” The Indian government’s direct fiscal support has been limited to 1.2% of GDP so far compared to roughly 3% of GDP on average in other emerging market economies. S&P noted that the government’s reluctance to provide greater direct fiscal support to the economy likely reflects pre-existing fiscal constraints owing to years of high fiscal deficits. “Although additional stimulus may help to avert a steeper downturn this year, it would also further strain the government’s weak finances,” it said.",Business
Discounts narrow in top hubs as gold price dip attracts some interest," BENGALURU/MUMBAI (Reuters) - Physical gold demand limped higher in top Asian hubs this week, with dealers in India easing discounts to the lowest level in six weeks, as a drop in prices saw a little interest return in the precious metal. Indian dealers offered discounts of up to $5 an ounce this week over official domestic prices, inclusive of 12.5% import and 3% sales levies, down from last week’s $23. The correction just before the festival season could encourage jewellers to build up inventory, said a Mumbai-based dealer with a bullion importing bank. In China, the biggest consumer of bullion, discounts narrowed to $40-$45 an ounce from last week’s $44-$48. “We saw a little bit of buying interest when prices dipped to around $1,850-$1,860, but mostly on the investment side. The retail side is a bit better but still quiet,” said Ronald Leung, chief dealer, Lee Cheong Gold Dealers in Hong Kong. Spot gold prices hit an over two-month low of $1,847.57 an ounce on Thursday and are down about 4.7% on a weekly basis. [GOL/] In India, the second-largest gold consumer, discounts narrowed after local prices fell to an over two-month low. “As prices are falling, retail buyers are postponing purchases anticipating an even bigger correction,” said Ashok Jain, proprietor of Mumbai-based gold wholesaler Chenaji Narsinghji. Singapore premiums remained around $0.80-$1.50 an ounce over the benchmark prices. “On the retail side, we are seeing a lot more clients coming in and buying gold because they are still bullish on gold, so every time there is correction or pullback many clients are buying,” said Brian Lan, managing director at dealer GoldSilver Central in Singapore. In Japan, premiums rose to $0.50-$0.75 compared with $0.30-$0.50 last week. In Bangladesh, domestic rates were slashed with the best quality gold priced at 74,008 taka ($874.49) per Bhori, or 11.664 grams, tracking global prices amid weak demand. ($1 = 84.6300 taka)",Business
Vodafone wins international arbitration against India in $2 billion tax case," NEW DELHI (Reuters) - Vodafone Group Plc VOD.L said on Friday it had won an international arbitration case against the Indian government, ending one of the most high-profile disputes in the country involving a $2 billion tax claim. An international arbitration tribunal in The Hague ruled that India’s imposition of a tax liability on Vodafone, as well as interest and penalties, were in a breach of an investment treaty agreement between India and the Netherlands, two sources with direct knowledge of the matter said. India had claimed a total of 279 billion rupees ($3.79 billion) including about $2 billion in tax, as well as interest and penalties, one of the sources said. The tribunal, in its ruling, said the government’s demand is in breach of “fair and equitable treatment” and it must cease seeking the dues from Vodafone. It also directed India to pay 4.3 million pounds ($5.47 million) to the company as compensation for its legal costs, one of the sources added. Vodafone said in a statement the amount of the award was confidential. Shares in the company's India unit, Vodafone Idea VODA.NS, ended 13% higher on Friday. “The tribunal held that any attempt by India to enforce the tax demand would be a violation of India’s international law obligations,” Vodafone said in its statement. India’s finance ministry said it will carefully study the award, together with its lawyers. “After such consultations, the government will consider all options and take a decision on further course of action including legal remedies,” the ministry said in a statement. “Vodafone has finally got justice first from the Indian Supreme Court and now from an international arbitral tribunal,” said Anuradha Dutt, senior partner at DMD Advocates, an Indian law firm representing the company. The ruling brings an end to one of the most controversial disputes in India under international treaty agreements that it enters into with countries to protect foreign investments. India is entangled in more than a dozen such cases against companies, including Cairn Energy CNE.L, over retrospective tax claims and cancellation of contracts. The exchequer could end up paying billions of dollars in damages if it loses. To reduce future arbitration claims, India has ended such agreements with over 50 countries and is working on a new law to protect foreign investors by offering relief from possible policy changes even as it upholds the right to tax them, Reuters reported. Vodafone’s tax dispute stems from its $11 billion deal to buy the Indian mobile assets from Hutchison Whampoa in 2007. The government said Vodafone was liable to pay taxes on the acquisition, which the company contested. In 2012, India’s top court ruled in favour of the telecom provider but the government changed the rules to enable it to tax deals that had already been concluded. In 2014, Vodafone initiated arbitration proceedings against India.",Business
Government to study Vodafone arbitration case award," BENGALURU (Reuters) - India’s government said on Friday that it will study an international arbitration tribunal’s ruling in favour of Vodafone Group Plc, ending one of the most high-profile disputes in the country involving a $2 billion tax claim. An international arbitration tribunal in The Hague ruled that India’s imposition of a tax liability on Vodafone, as well as interest and penalties, were in a breach of an investment treaty agreement between India and the Netherlands. It also directed India to pay 4.3 million pounds ($5.47 million) to the company as compensation for its legal costs. “The government will be studying the award and all its aspects carefully in consultation with our counsels,” India’s finance ministry said in a statement, adding that it will consider all options, including legal remedies.",Business
Harley close to deal with India's Hero after stopping local manufacturing: sources," NEW DELHI (Reuters) - Harley-Davidson Inc is in advanced talks with India’s Hero MotoCorp for a distribution deal which will allow the U.S. company’s motorcycles to be sold in India, after it stops local manufacturing there, three sources told Reuters. The Milwaukee-based company said on Thursday it will stop sales and shut its manufacturing plant in India, effectively abandoning the world’s biggest motorcycle market after a decade of unsuccessful efforts to gain a foothold. Harley, however, is in talks with Hero over a distribution arrangement that will allow the Indian company to import and sell Harley bikes as its sole distributor, two sources with familiar with the talks said. “Hero will be the master distributor for Harley bikes in India ... This will be a partnership, a strategic alliance,” said one of the sources, all of whom declined to be named as the discussions were private. Discussions are also ongoing to let Hero become a contract manufacturer for at least one Harley motorcycle with 300-600 cc engine capacity, which it will launch later, the first source added. The financial details of the deal were not immediately clear. Asked about talks with Hero, a Harley spokeswoman said the company would not comment on speculation. On Thursday, it said it was changing its business model in India evaluating options to continue to serve customers. Hero MotoCorp, India’s largest two-wheeler manufacturer by sales, also declined to comment on market speculation. It produced 6.4 million two-wheeler scooters and motorcycles in the fiscal year ending March 2020, a third of India’s total output. Harley manufactured 4,500 motorcycles during that period, largely assembled from imported knock-down kits at its plant near New Delhi, which it will shut as part of its restructuring. Harley’s decision to stop direct manufacturing marks another major exit by an automotive player in India and is a setback for Prime Minister Narendra Modi, who has invited foreign firms to ramp up local production. Ford Motor and General Motors have both cut back their India operations in recent years. Harley, known for its heavy touring motorcycles, struggled in India mainly because of high import duties - which U.S. President Donald Trump often criticized India for - and also because its locally assembled bikes faced high taxes. Hero typically sells motorcycles with engine capacity of under 200 cc and a deal with Harley will boost its entry into the mid- and high-engine market favoured by biking enthusiasts and fashion conscious younger riders, the second source said. Harley’s 33 dealerships will likely come under Hero’s management under the new arrangement, said one of the sources. In a statement on Friday, the Federation of Automobile Dealers Associations (FADA) in India criticised Harley for not informing dealers about their India plans. “It goes without saying that dealers who have invested their hard-earned capital in this iconic brand are left like an abandoned baby without any compensation package,” FADA said.",Business
"Social media deal earns advertisers' 'likes', but not yet all their dollars"," LONDON (Reuters) - Advertisers who boycotted social media are not all rushing back, despite an agreement by Facebook, YouTube and Twitter on how to curb harmful content online. Unilever, one of the world’s biggest advertisers, told Reuters the move this week was “a good step in the right direction,” but would not say whether it would resume paid advertising on Facebook in the United States next year after stopping over the summer. Coca-Cola also remains paused on Facebook and Instagram and declined to say if this changed its view. Beam Suntory, maker of Jim Beam bourbon and Courvoisier Cognac, plans to stay away from paid advertising for the rest of 2020 and reassess in 2021 based on how Facebook adjusts its approach. Over 1,000 advertisers joined a Facebook boycott over concerns it wasn’t doing enough to combat hate speech. U.S. civil rights groups enlisted multinationals to help pressure the social media giant after the June death of George Floyd, an American Black man, in police custody in Minneapolis. “Brands are very concerned about having any affiliation with the disinformation that runs through the big tech platforms,” said Michael Priem, CEO of advertising technology firm Modern Impact. Deciding whether to pull ads from social media can be tough. Larger brands can afford to take a stance, but for smaller businesses that have already been hurt by the coronavirus pandemic, “it’s either make it or die,” Priem said. On Wednesday, the World Federation of Advertisers announced that social media platforms and advertisers had committed to create common definitions of harmful content such as hate speech and harmonized reporting standards. A Facebook spokeswoman said on Friday that advertisers were returning to the platform. “For the most part advertisers are coming back because they recognize the efforts we’re making,” the spokeswoman said. “We’re never satisfied. We’ll continue to work with industry and with our clients.” She said that 95% of the hate speech removed by Facebook is detected before being reported, up from 23% in 2017. “Digital media is now more than half of all media spending yet is still operating with very few boundaries other than those that are self-imposed or that marketers try to enforce. It’s time for digital platforms to apply content standards properly,” Procter & Gamble’s chief brand officer, Marc Pritchard, said on Wednesday. The maker of Gillette razors and Pampers diapers said it will “continue to advocate for greater transparency, reporting, and enforcement” directly with platforms and through industry forums. Many companies, such as drinks giant Pernod Ricard, returned to Facebook in August after a one-month pause aimed at sending a message. “I feel very happy ... with the outcome. I think it worked,” said Eric Benoist, global marketing director for the maker of Absolut vodka and Martell Cognac. “It was a wake-up call. They heard it loud and clear.” Some advertisers, like spirits group Diageo, came back following direct engagement with the platform and evidence of action. “Some progress has been made, but more needs to be done and we think we’re better able to bring about change by working together,” a Diageo spokeswoman said. “We are in the process of resuming paid media and will continue to drive accountability on these pressing issues.” Campaign organizers remain skeptical and pledged to keep up the heat. “We cannot assume progress from yet another commitment to change until we see the impact and breadth of policy enforcement by these companies,” said Rashad Robinson, president of Color Of Change, a backer of the Stop Hate for Profit campaign, which organized the boycott. “As long as these companies continue to abdicate their responsibility to their most vulnerable users, we will continue to call on Congress and regulatory agencies to intervene.”",Business
"RBI to hold rates as inflation rises, even in recession: Reuters poll"," BENGALURU (Reuters) - The Reserve Bank of India will keep rates on hold until early next year in a delicate balancing act between curbing high inflation and lifting the economy from its worst recession on record, a Reuters poll of economists showed. August inflation, at 6.69%, held above the top end of the RBI’s medium-term target range of 2-6% for the fifth consecutive month amid supply disruptions, while coronavirus infections spread in India at the fastest pace anywhere in the world. The central bank held its main repo rate at 4.0% at its meeting last month and said it would keep policy accommodative to support an economy which nosedived 23.9% last quarter, the weakest performance on record. All 66 respondents expected no change at the Sept 29-Oct 1 meeting and the consensus showed rates would remain on hold in December, according to the poll which was conducted over the last few days. That compared with a quarter-point cut in the fourth quarter predicted a month ago. The Monetary Policy Committee (MPC) is then forecast to cut its repo rate by 25 basis points to 3.75% in the January-March quarter, holding until at least the end of the next fiscal year. “The current stagflation conditions are putting the MPC in a difficult position. Disrupted supply chains caused by irregular lockdowns will keep inflation elevated,” said Hugo Erken, head of International economics at Rabobank, referring to a state of persistent inflation but with no growth. “Given the inflation mandate of the RBI, the risk of high inflation becoming entangled in high inflation expectations and policy credibility, we feel the RBI will keep the status quo.” The economy, which was already weakening before the pandemic struck, is expected to mark its first full-year contraction since 1979 this year as millions are left unemployed in the world’s second most populous country. [ECILT/IN] That suggests more support is needed despite $266 billion of announced government stimulus and a cumulative 115 basis points worth of RBI rate cuts since late March. “While the system is awash with liquidity currently and real interest rates negative, there are no takers for these cheap funds just yet,” said Prakash Sakpal, senior Asia economist at ING Financial Markets. “Bank lending growth remains on a steady downward path. Therefore, any additional easing isn’t going to be of any use.” But one-third of economists, or 22 of 65, predicted the RBI will ease again in December, including three who expected a 50 basis point cut. A further eight of 31 who provided forecasts through early 2022 expect at least one rate hike during that period, underscoring an uncertain outlook for the economy. When asked to rate the RBI’s response to the pandemic, about 90% of economists, or 49 of 56, said it was about right. (For other stories from the Reuters global economic poll:)",Business
"Banks, IT lead rebound in Indian shares on fiscal stimulus hopes"," BENGALURU (Reuters) - Indian shares on Friday snapped their longest losing streak since February, boosted by financial and IT stocks, after a media report suggesting more domestic fiscal stimulus was on the way lifted sentiment. The broader NSE Nifty 50 index rose 2.3% to 11,050.25 and the S&P BSE Sensex climbed 2.3% to 37,388.66, after falling for six straight sessions. The Indian government was set to announce a stimulus package ahead of the festive season, aimed at creating jobs and pushing demand to lift the battered economy, a Moneycontrol report said. Both Indian indexes, however, were down nearly 4% in their worst week since early-May, on worries over the impact of surging cases of the novel coronavirus on the global economic recovery. “We may see little bounces ... Fundamentals are as weak as they were three months back,” said Umesh Mehta, head of research at Samco Securities, Mumbai. The Nifty IT sub-index climbed 3.5%, while the Nifty Bank index gained 2.6%. The positive investor sentiment was also underpinned by a recovery in global shares on hopes of economic stimulus from the United States. Shares of Granules India Ltd rose as much as 9.5% after a report said KKR, Bain Capital, Blackstone were in the race for a majority stake in the pharma company. Shares of Vodafone Idea rose as much as 14.8%, after Reuters reported that the telecom operator’s British parent, Vodafone Group Plc won an international arbitration case against Indian government. India’s Cipla rose 5.1% after it got a final approval from the U.S. FDA for a generic version of Biogen IDEC’s multiple sclerosis drug Tecfidera.",Business
Tech ETF outflows send a wake-up call after sizzling rally," LONDON (Reuters) - Passive investors, the backbone of the Nasdaq’s rally this year, seem to have lost their nerve, pulling massive amounts of cash in recent days from index-tracking technology funds in what many see as an ominous sign for the sector. With the tech-heavy Nasdaq 100 down more than 13% after a record 84% rally off March lows -- in correction territory -- many investors are speculating that a reversal could pick up speed as a COVID-19 vaccine gets closer. Goldman Sachs, for example, predicts at least one vaccine will be approved by the end of this year. That should help broader markets but weaken the case for shares in companies that benefit when people are forced to stay home, whether cloud computing or e-commerce. But exchange-traded funds, which accounted for most of this year’s tech sector inflows, may be the ones to watch. In the week ending Sept. 23, tech-focused ETFs suffered $1.23 billion worth of outflows, the largest since December 2018, when global stock markets tanked, according to Lipper data. September is also the first month of outflows for the tech sector since the COVID-fuelled market selloff in March. (Graphic: Peak tech - ) The figures are significant because ETFs such as the Invesco QQQ ETF tracking the Nasdaq have taken some $20 billion between January and July, according to Reuters calculations based on data from Refinitiv and Wisdom Tree. The other reason to watch ETFs is that flows data is available faster compared with mutual funds. “We think the latest pullback in U.S. equities, from frothy levels, is a chance for investors to diversify their allocation to those parts of the equity market so far left behind, which could benefit Europe,” said Maneesh Deshpande, a U.S. equity strategist at Barclays. For instance, the QQQ fund posted record $3.5 billion outflows on Monday amid a Nasdaq slump, then got $4 billion the following day as sentiment recovered, notes Peter Garnry, head of equity strategy at Saxo Bank. He said the QQQ volatility pointed to “widespread speculation in U.S. technology stocks and that this is increasingly becoming the leading index for sentiment.” Data from other ETF service providers also show outflows. On a three-month rolling basis, the most active ETFs tracking the U.S. technology and growth sectors saw $1.7 billion of outflows, the first negative reading this year, according to Wisdom Tree. Making up around a third of the benchmark S&P 500 index, U.S. tech stocks have been the ultimate pandemic beneficiaries, especially so-called FANGMAN - Facebook, Apple, Netflix, Google , Microsoft, Amazon and chipmaker Nvidia. (Graphic: Top five tech stocks' dominance in global markets - ) Money poured in to chase the out-performance of technology shares. Total net assets for a group of technology focused ETFS nearly doubled to $113 billion at the end of August from $64 billion a year ago, according to Morningstar data. U.S. tech mega caps are down more than 13% from a September peak and account for nearly half of the S&P 500 decline over that period. (Graphic: Tech behemoths add trillions in market value - tmsnrt.rs/3iXrSCk) Still, valuations are hovering near 22 times forward earnings for the S&P 500 index, the highest since the dotcom bubble in early 2000. Multiples of some tech stocks are as high as 100 times forward earnings. But some, such as Sumant Wahi, a portfolio manager at Fidelity International, believe this is a temporary correction: “I think the market is digesting some of the large flows we have seen in recent weeks and this is a temporary correction. “Big tech is here to stay.”",Business
Exclusive: India plans $4.6 billion in incentives for battery makers in electric vehicle push - document," NEW DELHI (Reuters) - India plans to offer $4.6 billion in incentives to companies setting up advanced battery manufacturing facilities as it seeks to promote the use of electric vehicles and cut down its dependence on oil, according to a government proposal seen by Reuters. A proposal drafted by NITI Aayog, a federal think tank chaired by Prime Minister Narendra Modi, said India could slash its oil import bills by as much as $40 billion by 2030 if electric vehicles were widely adopted. The proposal is likely to be reviewed by Modi’s cabinet in the coming weeks, said a senior government official, who was not authorised to comment on the matter and declined to be identified. NITI Aayog and the Indian government did not respond to requests for comment. The think tank recommended incentives of $4.6 billion by 2030 for companies manufacturing advanced batteries, starting with cash and infrastructure incentives of 9 billion rupees ($122 million) in the next financial year which would then be ratcheted up annually. “Currently, the battery energy storage industry is at a very nascent stage in India with investors being a little apprehensive to invest in a sunrise industry,” the proposal said. India plans to retain its import tax rate of 5% for certain types of batteries, including batteries for electric vehicles, until 2022, but will increase it to 15% thereafter to promote local manufacturing, the document said. Though keen to reduce its oil dependence and cut down on pollution, India’s efforts to promote electric vehicles have been stymied by a lack of investment in manufacturing and infrastructure such as charging stations. Just 3,400 electric cars were sold in the world’s second-most populous nation during the last business year, compared to sales of 1.7 million conventional passenger cars. The policy could benefit battery makers such as South Korea's LG Chem 051910.KS and Japan's Panasonic Corp 6752.T as well as automakers which have started building EVs in India such as Tata Motors TAMO.NS and Mahindra & Mahindra MAHM.NS. While China accounts for 80% of the world’s lithium-ion cell production, India has introduced stricter investment rules for Chinese companies. It has also slowed down the approval processs for some proposals after a deadly border clash between the two countries in June. The draft proposal said annual domestic demand for battery storage and market size - currently less than 50 gigawatt hours and worth just over to $2 billion - could grow to 230 gigawatt hours and more than $14 billion in ten years time. It did not offer an estimate of how many electric cars it expected to be on the road by 2030. The proposal estimates it would cost firms some $6 billion over five years to set up manufacturing facilities with the support of government subsidies. NITI Aayog has been the driver of several key India government policies including the planned privatisations of a swathe of state-owned companies.",Business
